Symbol	Name	Pinyi	Initial
300028	金亚科技	JinYaKeJi	JYKJ
300029	天龙光电	TianLongGuangDian	TLGD
300030	阳普医疗	YangPuYiLiao	YPYL
300031	宝通带业	BaoTongDaiYe	BTDY
300032	金龙机电	JinLongJiDian	JLJD
300033	同花顺	TongHuaShun	THS
300034	钢研高纳	GangYanGaoNa	GYGN
300035	中科电气	ZhongKeDianQi	ZKDQ
300036	超图软件	ChaoTuRuanJian	CTRJ
300037	新宙邦	XinZhouBang	XZB
300038	梅泰诺	MeiTaiNuo	MTN
300039	上海凯宝	ShangHaiKaiBao	SHKB
300040	九洲电气	JiuZhouDianQi	JZDQ
300041	回天胶业	HuiTianJiaoYe	HTJY
300042	朗科科技	LangKeKeJi	LKKJ
300043	星辉车模	XingHuiCheMo	XHCM
300044	赛为智能	SaiWeiZhiNeng	SWZN
300045	华力创通	HuaLiChuangTong	HLCT
300046	台基股份	TaiJiGuFen	TJGF
300047	天源迪科	TianYuanDiKe	TYDK
300048	合康变频	HeKangBianPin	HKBP
300049	福瑞股份	FuRuiGuFen	FRGF
300050	世纪鼎利	ShiJiDingLi	SJDL
300051	三五互联	SanWuHuLian	SWHL
300052	中青宝	ZhongQingBao	ZQB
300053	欧比特	OuBiTe	OBT
300054	鼎龙股份	DingLongGuFen	DLGF
300055	万邦达	WanBangDa	WBD
300056	三维丝	SanWeiSi	SWS
300057	万顺股份	WanShunGuFen	WSGF
300058	蓝色光标	LanSeGuangBiao	LSGB
300059	东方财富	DongFangCaiFu	DFCF
300061	康耐特	KangNaiTe	KNT
300062	中能电气	ZhongNengDianQi	ZNDQ
300063	天龙集团	TianLongJiTuan	TLJT
300064	豫金刚石	YuJinGangShi	YJGS
300065	海兰信	HaiLanXin	HLX
300066	三川股份	SanChuanGuFen	SCGF
300067	安诺其	AnNuoQi	ANQ
300068	南都电源	NanDouDianYuan	NDDY
300069	金利华电	JinLiHuaDian	JLHD
300070	碧水源	BiShuiYuan	BSY
300071	华谊嘉信	HuaYiJiaXin	HYJX
300072	三聚环保	SanJuHuanBao	SJHB
300073	当升科技	DangShengKeJi	DSKJ
300074	华平股份	HuaPingGuFen	HPGF
300075	数字政通	ShuZiZhengTong	SZZT
300076	宁波GQY	NingBoGQY	NBGQY
300077	国民技术	GuoMinJiShu	GMJS
300078	中瑞思创	ZhongRuiSiChuang	ZRSC
300079	数码视讯	ShuMaShiXun	SMSX
300080	新大新材	XinDaXinCai	XDXC
300081	恒信移动	HengXinYiDong	HXYD
300082	奥克股份	AoKeGuFen	AKGF
300083	劲胜股份	JinShengGuFen	JSGF
300084	海默科技	HaiMoKeJi	HMKJ
300085	银之杰	YinZhiJie	YZJ
300086	康芝药业	KangZhiYaoYe	KZYY
300087	荃银高科	QuanYinGaoKe	QYGK
300088	长信科技	ChangXinKeJi	CXKJ
300089	长城集团	ChangChengJiTuan	CCJT
300090	盛运股份	ShengYunGuFen	SYGF
300091	金通灵	JinTongLing	JTL
300092	科新机电	KeXinJiDian	KXJD
300093	金刚玻璃	JinGangBoLi	JGBL
300094	国联水产	GuoLianShuiChan	GLSC
300095	华伍股份	HuaWuGuFen	HWGF
300096	易联众	YiLianZhong	YLZ
300097	智云股份	ZhiYunGuFen	ZYGF
